"Points:0","Points:1","Points:2"
5.9403e+06,2.5936e+05,0
5.9653e+06,2.6045e+05,0
5.9903e+06,2.6154e+05,0
6.0153e+06,2.6263e+05,0
6.0402e+06,2.6372e+05,0
6.0652e+06,2.6481e+05,0
6.0902e+06,2.659e+05,0
6.1152e+06,2.6699e+05,0
6.1402e+06,2.6808e+05,0
6.1651e+06,2.6918e+05,0
6.1901e+06,2.7027e+05,0
6.2151e+06,2.7136e+05,0
6.2401e+06,2.7245e+05,0
6.265e+06,2.7354e+05,0
6.29e+06,2.7463e+05,0
6.315e+06,2.7572e+05,0
6.34e+06,2.7681e+05,0
6.3649e+06,2.779e+05,0
3.4662e+06,1.8166e+05,0
3.4912e+06,1.8297e+05,0
3.5162e+06,1.8427e+05,0
3.5411e+06,1.8558e+05,0
3.5661e+06,1.8689e+05,0
3.5911e+06,1.882e+05,0
3.616e+06,1.8951e+05,0
3.641e+06,1.9082e+05,0
3.666e+06,1.9213e+05,0
3.6909e+06,1.9343e+05,0
3.7159e+06,1.9474e+05,0
3.7409e+06,1.9605e+05,0
3.7658e+06,1.9736e+05,0
3.7908e+06,1.9867e+05,0
3.8158e+06,1.9998e+05,0
3.8407e+06,2.0128e+05,0
3.8657e+06,2.0259e+05,0
3.8907e+06,2.039e+05,0
3.9156e+06,2.0521e+05,0
3.9406e+06,2.0652e+05,0
3.9656e+06,2.0783e+05,0
3.9905e+06,2.0913e+05,0
4.0155e+06,2.1044e+05,0
4.0405e+06,2.1175e+05,0
4.0654e+06,2.1306e+05,0
4.0904e+06,2.1437e+05,0
4.1154e+06,2.1568e+05,0
4.1403e+06,2.1698e+05,0
4.1653e+06,2.1829e+05,0
4.1902e+06,2.196e+05,0
4.2152e+06,2.2091e+05,0
4.2402e+06,2.2222e+05,0
4.2651e+06,2.2353e+05,0
4.2901e+06,2.2484e+05,0
4.3151e+06,2.2614e+05,0
4.34e+06,2.2745e+05,0
4.365e+06,2.2876e+05,0
4.39e+06,2.3007e+05,0
4.4149e+06,2.3138e+05,0
4.4399e+06,2.3269e+05,0
4.4649e+06,2.3399e+05,0
4.4898e+06,2.353e+05,0
4.5148e+06,2.3661e+05,0
4.5398e+06,2.3792e+05,0
4.5647e+06,2.3923e+05,0
4.5897e+06,2.4054e+05,0
4.6147e+06,2.4184e+05,0
4.6396e+06,2.4315e+05,0
4.6646e+06,2.4446e+05,0
4.6896e+06,2.4577e+05,0
4.7145e+06,2.4708e+05,0
4.7395e+06,2.4839e+05,0
4.7645e+06,2.4969e+05,0
